,Country,Region,Year,Ladder,Log GDP,Social Supp,Life expectancy,Freedom,generosity,Corruption,Violence,Rate Beds,Rate Medical,Rate Nursing,Rate Dentists,poverty_gap,poverty_severity,gini
11,Albania,Southern Europe,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.370515645,,21.627,,10.334,5.6359287247404045e-05,6.735117264316545e-06,0.3014828173658326
12,Albania,Southern Europe,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.370515645,,21.627,,10.334,0.0113221197723575,0.0050917559754499,0.3598875190138544
13,Albania,Southern Europe,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.378474772,,,,,0.000388034422363756,5.487423127130845e-05,0.330556627406811
14,Albania,Southern Europe,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.378474772,,,,,0.0179580832345811,0.0087542775801333,0.3709512668663948
15,Albania,Southern Europe,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.344644666,,12.186,36.562,,0.00010544817369853656,1.3631301884193887e-05,0.3373629871613545
16,Albania,Southern Europe,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.344644666,,12.186,36.562,,0.0221181735810854,0.0113193934043659,0.3856564270560207
17,Albania,Southern Europe,2015,4.607,9.403,0.639,67.8,0.704,-0.081,0.885,0.34612906,,,,,5.614687619097938e-05,4.126675601317828e-06,0.3275373177638621
18,Albania,Southern Europe,2014,4.814,9.378,0.626,67.52,0.735,-0.025,0.883,0.485986233,,,,,0.0013870792658179,0.00026728230227667307,0.3459889646678993
20,Albania,Southern Europe,2012,5.51,9.347,0.785,66.96,0.602,-0.169,0.848,-0.143631592,28.8,12.779,44.527,,0.0013089253858911,0.00045241814049116894,0.2896048455859209
30,Algeria,Northern Africa,2011,5.317,9.297,0.81,64.66,0.53,-0.181,0.638,-1.360560656,,,,,0.0015304272353794,0.001114154708138,0.2761573091623685
36,Argentina,Latin America and Caribbean,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.010891375,,,,15.328,0.0030022407870799,0.0018816676254004,0.413424983747329
37,Argentina,Latin America and Caribbean,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.169504255,49.9,39.794,25.927,,0.0020553414788643,0.0015942770793386,0.4113448843872838
38,Argentina,Latin America and Caribbean,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.204625502,49.5,39.867,25.727,,0.0027078294518148,0.0018934471379268,0.4203252890095214
40,Argentina,Latin America and Caribbean,2014,6.671,10.067,0.918,68.02,0.745,-0.164,0.854,-0.005121871,48.4,,,,0.002730939763359,0.0019534412635574,0.4163278985481589
41,Argentina,Latin America and Caribbean,2013,6.582,10.103,0.91,67.84,0.737,-0.13,0.823,0.065314263,47.8,,,,0.0028343961315033,0.002045626364678,0.4094544219759075
42,Argentina,Latin America and Caribbean,2012,6.468,10.091,0.902,67.66,0.747,-0.148,0.817,0.103040546,45.9,,,,0.0029685113719166,0.0020247478969783,0.4132619793924652
43,Argentina,Latin America and Caribbean,2011,6.776,10.112,0.889,67.48,0.816,-0.174,0.755,0.158993661,43.9,,,,0.0029139794213156,0.0019353048991018,0.4264528063979222
44,Argentina,Latin America and Caribbean,2010,6.441,10.066,0.927,67.3,0.73,-0.126,0.855,-0.084797867,,,,,0.0030185935783855,0.0020268761026144,0.4358321825728346
45,Argentina,Latin America and Caribbean,2009,6.424,9.977,0.919,67.18,0.637,-0.13,0.885,-0.234854579,,,,,0.0053438266428332,0.0032068563874647,0.4365419704989163
46,Argentina,Latin America and Caribbean,2008,5.961,10.048,0.892,67.06,0.678,-0.132,0.865,-0.087755688,,,,,0.0061182383064366,0.0037427034513176,0.4487679026711821
47,Argentina,Latin America and Caribbean,2007,6.073,10.018,0.862,66.94,0.653,-0.141,0.881,0.097796634,,,,,0.0066374307860075,0.0041999431004466,0.4617355631333476
48,Armenia,Western Asia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,-0.444908142,,,,,0.002240027347325,0.0005717864711129639,0.344334976829172
